run,size,generator,sort,time,comparisons,pointer_changes
4,2048,Reverse,Merge Sort,0.001000,11264,17408
4,2048,Almost Sorted,Insertion Sort,0.047000,1956167,6087
4,2048,Almost Sorted,Merge Sort,0.001000,17648,23792
4,4096,Random,Insertion Sort,0.183000,4195459,12150
4,4096,Random,Merge Sort,0.003000,43912,56200
4,4096,Sorted,Insertion Sort,0.099000,8386560,0
4,4096,Sorted,Merge Sort,0.001000,24576,36864
4,4096,Reverse,Insertion Sort,0.094000,4095,12285
4,4096,Reverse,Merge Sort,0.003000,24576,36864
4,4096,Almost Sorted,Insertion Sort,0.198000,7698837,12267
4,4096,Almost Sorted,Merge Sort,0.003000,40841,53129
4,8192,Random,Insertion Sort,0.969000,16858287,24318
4,8192,Random,Merge Sort,0.006000,95813,120389
4,8192,Sorted,Insertion Sort,0.342000,33550336,0
4,8192,Sorted,Merge Sort,0.004000,53248,77824
4,8192,Reverse,Insertion Sort,0.245000,8191,24573
4,8192,Reverse,Merge Sort,0.005000,53248,77824
4,8192,Almost Sorted,Insertion Sort,0.918000,30668487,24498
4,8192,Almost Sorted,Merge Sort,0.004000,88680,113256
4,16384,Random,Insertion Sort,5.486000,67636252,48681
4,16384,Random,Merge Sort,0.018000,208252,257404
4,16384,Sorted,Insertion Sort,1.873000,134209536,0
4,16384,Sorted,Merge Sort,0.008000,114688,163840
4,16384,Reverse,Insertion Sort,2.022000,16383,49149
4,16384,Reverse,Merge Sort,0.009000,114688,163840
4,16384,Almost Sorted,Insertion Sort,4.112000,125968200,49083
4,16384,Almost Sorted,Merge Sort,0.011000,197654,246806
4,32768,Random,Insertion Sort,36.560000,270767421,97263
4,32768,Random,Merge Sort,0.025000,449000,547304
4,32768,Sorted,Insertion Sort,8.964000,536854528,0
4,32768,Sorted,Merge Sort,0.018000,245760,344064
4,32768,Reverse,Insertion Sort,9.164000,32767,98301
4,32768,Reverse,Merge Sort,0.024000,245760,344064
4,32768,Almost Sorted,Insertion Sort,26.521000,475854538,98250
4,32768,Almost Sorted,Merge Sort,0.027000,418058,516362
5,1024,Random,Insertion Sort,0.011000,263947,3036
5,1024,Random,Merge Sort,0.001000,8943,12015
5,1024,Sorted,Insertion Sort,0.007000,523776,0
5,1024,Sorted,Merge Sort,0.001000,5120,8192
5,1024,Reverse,Insertion Sort,0.006000,1023,3069
5,1024,Reverse,Merge Sort,0.001000,5120,8192
5,1024,Almost Sorted,Insertion Sort,0.012000,476019,3018
5,1024,Almost Sorted,Merge Sort,0.001000,7913,10985
5,2048,Random,Insertion Sort,0.044000,1067096,6060
5,2048,Random,Merge Sort,0.001000,19907,26051
5,2048,Sorted,Insertion Sort,0.026000,2096128,0
5,2048,Sorted,Merge Sort,0.001000,11264,17408
5,2048,Reverse,Insertion Sort,0.025000,2047,6141
5,2048,Reverse,Merge Sort,0.001000,11264,17408
5,2048,Almost Sorted,Insertion Sort,0.052000,1970666,6096
5,2048,Almost Sorted,Merge Sort,0.001000,17621,23765
5,4096,Random,Insertion Sort,0.153000,4173047,12168
5,4096,Random,Merge Sort,0.003000,43940,56228
5,4096,Sorted,Insertion Sort,0.111000,8386560,0
5,4096,Sorted,Merge Sort,0.003000,24576,36864
5,4096,Reverse,Insertion Sort,0.096000,4095,12285
5,4096,Reverse,Merge Sort,0.002000,24576,36864
5,4096,Almost Sorted,Insertion Sort,0.209000,7508208,12204
5,4096,Almost Sorted,Merge Sort,0.003000,39367,51655
5,8192,Random,Insertion Sort,0.946000,17039946,24303
5,8192,Random,Merge Sort,0.005000,95883,120459
5,8192,Sorted,Insertion Sort,0.466000,33550336,0
5,8192,Sorted,Merge Sort,0.006000,53248,77824
5,8192,Reverse,Insertion Sort,0.497000,8191,24573
5,8192,Reverse,Merge Sort,0.005000,53248,77824
5,8192,Almost Sorted,Insertion Sort,0.986000,30409457,24540
5,8192,Almost Sorted,Merge Sort,0.006000,89760,114336
5,16384,Random,Insertion Sort,5.644000,67610784,48675
5,16384,Random,Merge Sort,0.007000,208368,257520
5,16384,Sorted,Insertion Sort,2.032000,134209536,0
5,16384,Sorted,Merge Sort,0.010000,114688,163840
5,16384,Reverse,Insertion Sort,1.073000,16383,49149
5,16384,Reverse,Merge Sort,0.006000,114688,163840
5,16384,Almost Sorted,Insertion Sort,2.067000,120057152,49134
5,16384,Almost Sorted,Merge Sort,0.006000,194203,243355
5,32768,Random,Insertion Sort,31.828000,269198120,97251
5,32768,Random,Merge Sort,0.030000,449184,547488
5,32768,Sorted,Insertion Sort,9.274000,536854528,0
5,32768,Sorted,Merge Sort,0.021000,245760,344064
5,32768,Reverse,Insertion Sort,8.980000,32767,98301
5,32768,Reverse,Merge Sort,0.018000,245760,344064
5,32768,Almost Sorted,Insertion Sort,21.877000,497641447,98241
5,32768,Almost Sorted,Merge Sort,0.027000,428165,526469
6,1024,Random,Insertion Sort,0.010000,263777,3036
6,1024,Random,Merge Sort,0.001000,8925,11997
6,1024,Sorted,Insertion Sort,0.007000,523776,0
6,1024,Sorted,Merge Sort,0.000000,5120,8192
